,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
258,Josh,Onomah,MID,0,0,13,355,435,376,369,12,28.7,33.6,47.0,0,46,10.7,0,0,1,4.6,2.8260869565217392
259,Jean Michaël,Seri,MID,0,0,0,651,669,660,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.6,0.0
260,Aboubakar,Kamara,MID,0,0,8,366,450,312,307,9,76.8,22.6,39.0,0,14,13.2,0,1,1,4.8,1.6666666666666667
261,André-Frank,Zambo Anguissa,MID,3,0,76,124,125,85,2581,40,409.4,507.6,312.0,4,391,123.1,6,0,6,4.4,17.27272727272727
262,Zeze Steven,Sessegnon,DEF,0,0,0,554,589,573,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
263,Harrison,Reed,MID,3,0,69,307,176,114,2243,35,330.4,421.2,82.0,0,391,83.5,9,0,5,4.4,15.68181818181818
264,Antonee,Robinson,DEF,0,0,57,203,162,65,2159,28,475.8,451.4,178.0,1,393,110.8,5,1,4,4.4,12.954545454545453
265,Mario,Lemina,MID,1,1,55,253,234,208,1696,27,169.5,294.0,134.0,3,267,59.9,3,0,5,4.5,12.222222222222221
266,Alphonse,Areola,GK,0,0,124,593,11,607,3240,48,0.0,876.2,0.0,9,637,87.4,9,0,2,4.5,27.555555555555557
267,Kenny,Tete,DEF,1,0,50,286,223,126,1477,27,312.4,330.8,98.0,3,288,74.2,5,0,3,4.3,11.627906976744187
268,Denis,Odoi,DEF,0,0,1,417,433,386,270,10,20.8,35.4,8.0,0,34,6.4,0,0,1,4.2,0.23809523809523808
269,Ademola,Lookman,MID,4,4,107,24,120,14,2746,33,884.6,514.2,928.0,8,367,232.7,10,0,5,4.7,22.76595744680851
270,Ola,Aina,DEF,1,2,102,243,144,165,2664,36,248.8,483.6,144.0,8,477,87.7,8,0,3,4.3,23.72093023255814
271,Joachim,Andersen,DEF,1,1,93,238,80,256,2729,36,109.3,582.8,151.0,7,501,84.5,9,1,6,4.5,20.666666666666668
272,Tosin,Adarabioyo,DEF,1,0,100,172,57,323,2953,41,70.1,673.8,223.0,11,571,97.1,9,0,1,4.5,22.22222222222222
273,Terence,Kongolo,DEF,0,0,2,442,459,442,90,1,4.7,16.8,2.0,0,15,2.4,0,0,0,4.3,0.46511627906976744
274,Josh,Maja,FWD,0,3,40,123,344,261,804,9,103.2,138.0,314.0,5,123,55.3,5,0,0,5.0,8.0
275,Fabio,Carvalho,MID,0,1,12,222,399,367,254,6,30.8,72.4,161.0,0,42,26.5,0,0,0,4.5,2.6666666666666665
276,Sylvester,Jasper,MID,0,0,0,610,634,624,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
277,Tyrese,Francois,MID,0,0,1,618,500,454,14,1,1.3,1.2,0.0,0,2,0.3,0,0,0,4.5,0.2222222222222222
278,Wes,Morgan,DEF,0,0,3,564,490,477,16,0,0.1,3.0,0.0,0,9,0.3,0,0,0,4.4,0.6818181818181818
279,Kasper,Schmeichel,GK,0,0,128,705,29,705,3420,50,0.0,769.0,0.0,6,631,76.9,11,0,0,5.4,23.703703703703702
280,Christian,Fuchs,DEF,0,0,24,387,345,360,701,9,33.9,137.0,22.0,2,112,19.2,3,0,4,4.5,5.333333333333333
281,Jonny,Evans,DEF,2,2,109,268,107,240,2473,31,129.0,532.4,115.0,12,536,77.9,10,0,7,5.6,19.464285714285715
282,Adrien,Silva,MID,0,0,0,566,599,584,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,0.0
283,Marc,Albrighton,MID,7,1,78,143,179,49,1735,22,544.2,412.6,282.0,3,325,123.9,4,0,2,5.2,15.0
284,Matty,James,MID,0,0,0,539,575,558,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
285,Danny,Ward,GK,0,0,0,545,581,564,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
286,Jamie,Vardy,FWD,14,15,187,9,18,104,2838,44,356.6,819.2,1306.0,23,649,248.3,8,0,1,10.2,18.333333333333336
287,Dennis,Praet,MID,2,1,37,264,356,236,714,11,132.1,119.2,120.0,1,129,36.9,3,0,0,5.2,7.115384615384615
288,Ricardo Domingos,Barbosa Pereira,DEF,1,0,27,245,301,215,954,19,162.4,183.4,144.0,0,152,48.9,2,0,3,5.9,4.576271186440677
289,Daniel,Amartey,DEF,0,1,19,339,331,416,718,12,10.9,155.0,61.0,2,121,22.7,0,0,3,3.9,4.871794871794872
290,Youri,Tielemans,MID,4,6,133,76,16,21,3356,50,788.2,840.4,462.0,11,633,209.1,11,0,6,6.4,20.78125
